ra,dec,mag,ci,proper,hip,spect,gl
0.5969,49.0211,6.89,0.615,,2814,A2,
0.5986,13.2071,6.32,0.517,,2832,F7V,
0.6002,-59.7172,6.91,0.368,,2841,F2V,
0.6005,-5.5707,6.72,0.466,,2843,F5,
0.6009,-14.973,6.45,1.063,,2846,K0III,
0.6018,38.252,7.08,1.641,,2851,M0III,
0.6019,-22.8423,6.06,0.297,,2852,A5m...,
0.6023,54.1684,5.08,-0.098,,2854,B7III,
0.6027,24.0254,7.23,1.092,,2856,K2III,
0.6056,27.2548,6.51,-0.07,,2865,B8IIIMNp...,
0.6076,60.3262,5.78,0.294,,2876,A4III,
0.6104,-65.1244,6.43,1.26,,2889,K2/K3III,
0.6105,-49.1323,6.79,0.639,,2888,G0/G1V,Gl 24A
0.6129,44.4886,5.14,1.587,,2900,K5III,
0.6129,54.9574,6.77,1.419,,2901,K2,
0.6131,15.2317,5.89,-0.146,,2903,B2.5IV,
0.6138,-76.3096,6.72,0.394,,2907,F2/F3III,
0.6147,33.7193,4.34,-0.123,,2912,B5V,
0.6162,53.8969,3.69,-0.196,Fulu,2920,B2IV,
0.6187,24.0141,6.18,1.17,,2926,K2III,
0.6216,11.4366,7.04,0.325,,2936,A2,
0.6217,-54.3938,6.4,0.995,,2937,K0II/IIICN,
0.6224,-24.7673,5.57,0.715,,2941,K1V+...,Gl 25A
0.6226,35.3995,5.45,0.886,,2942,G5III,
0.6229,-37.2881,6.99,0.723,,2944,G8V,
0.624,40.3324,6.85,0.021,,2948,A0,
0.6251,3.1354,6.43,1.339,,2954,K4III,
0.628,21.0997,6.84,1.101,,2965,K1III,
0.6294,72.8949,6.96,-0.005,,2968,B3,
0.6346,-0.5035,6.64,1.301,,2994,K2III,
0.6351,-41.5922,7.23,0.667,,2997,F7IV/V,
0.6374,84.675,7.11,0.554,,3006,F8,
0.6422,-20.2966,6.73,-0.129,,3025,Asp...,
0.6426,60.3248,6.77,1.725,,3030,K3Ib-II,
0.6426,29.3118,4.34,0.871,,3031,G5III...,
0.6434,-23.5992,7.11,0.423,,3035,F3IV/V,
0.6446,-73.1376,6.87,0.114,,3042,A1m...,
0.6449,46.9568,6.72,0.96,,3045,G5,
0.6469,-25.1078,6.43,1.482,,3056,K4III,
0.647,59.8262,6.72,-0.019,,3058,A0,
0.6493,26.3238,6.92,1.383,,3070,K3III,
0.6527,49.3546,5.45,1.644,,3083,K5III,
0.6531,-57.9679,6.81,0.471,,3084,F5IV/V,
0.6555,30.861,3.27,1.268,,3092,K3III...,
0.6561,21.2505,5.88,0.85,,3093,K0V,Gl 27
0.6606,-85.7009,6.81,1.26,,3114,K5III,
0.6621,-11.1508,6.83,0.432,,3122,F5,
0.6632,82.4938,6.38,0.551,,3132,F6V:,
0.6644,-44.7963,6,1.142,,3137,K1IIICN...,
0.6654,21.4385,5.36,1.16,,3138,F3V...,
0.6661,-33.9614,6.68,0.519,,3142,F7V,
0.6665,76.8711,6.73,1.199,,3145,K0,
0.6722,24.0539,7.21,0.19,,3165,A3,
0.6722,59.4642,7.04,1.122,,3166,K0IIIp,
0.6737,-59.4546,5.89,0.564,,3170,G1V,Gl 29
0.6746,-16.5167,6.49,0.91,,3175,G8III,
0.6751,56.5373,2.24,1.17,Schedar,3179,K0II-IIIvar,
0.6758,-23.8049,6.14,0.718,,3185,G3/G5V,Gl 27.2
0.6759,-29.4209,6.75,0.996,,3188,K0III,
0.6784,-4.3518,5.9,1.091,,3193,K0III,
0.6799,-7.2326,7.02,0.62,,3203,G0...,
